id,name,category,price,description,specs,brand,rating,stock,weight,color,warranty,release_year,discount,is_available,storage,ram,display_size,battery,best_for
1,Realme C55,phone,15999,Бюджетный смартфон с быстрой зарядкой,"Экран: 6.72"", Камера: 64MP, Чипсет: Helio G88",Realme,4.3,45,"190g","Черный, Зеленый",2,2023,0,true,"128GB","8GB","6.72"","5000mAh","повседневное использование"
2,Xiaomi Redmi 12C,phone,12999,Доступный смартфон для базовых задач,"Экран: 6.71"", Камера: 50MP, Процессор: Helio G85",Xiaomi,4.1,67,"192g","Синий, Серый",1,2023,5,true,"64GB","4GB","6.71"","5000mAh","бюджетный сегмент"
3,Samsung Galaxy A04,phone,11999,Простой и надежный смартфон,"Экран: 6.5"", Камера: 50MP, Память: 64GB",Samsung,4.0,89,"192g","Черный, Медь",1,2022,0,true,"64GB","4GB","6.5"","5000mAh","базовые задачи"
4,Infinix Hot 30,phone,14999,Игровой смартфон начального уровня,"Экран: 6.78"", Частота: 90Hz, Процессор: Helio G88",Infinix,4.2,34,"196g","Синий, Оранжевый",1,2023,8,true,"128GB","8GB","6.78"","6000mAh","гейминг"
5,Tecno Spark 10,phone,13999,Смартфон с хорошей селфи-камерой,"Экран: 6.6"", Фронтальная: 32MP, Батарея: 5000mAh",Tecno,4.1,56,"195g","Белый, Фиолетовый",1,2023,0,true,"128GB","8GB","6.6"","5000mAh","селфи"
6,Acer Aspire 3,laptop,44999,Бюджетный ноутбук для учебы,"Экран: 15.6"", Процессор: Ryzen 5, ОС: Windows 11",Acer,4.2,23,"1.9kg","Черный",2,2023,10,true,"512GB SSD","8GB","15.6"","42Wh","учеба"
7,Lenovo IdeaPad 3,laptop,38999,Универсальный ноутбук для работы,"Экран: 14"", Процессор: Intel i3, Видеокарта: Intel UHD",Lenovo,4.3,31,"1.6kg","Серый",2,2023,5,true,"256GB SSD","8GB","14"","45Wh","работа"
8,HP 15s-eq2000nia,laptop,51999,Стильный ноутбук с AMD процессором,"Экран: 15.6"", Процессор: Ryzen 5, Память: 8GB",HP,4.4,19,"1.7kg","Серебристый",2,2023,0,true,"512GB SSD","8GB","15.6"","41Wh","универсальный"
9,ASUS Vivobook 15,laptop,47999,Тонкий и легкий ноутбук,"Экран: 15.6"", Процессор: Intel i5, Вес: 1.8кг",ASUS,4.3,27,"1.8kg","Синий",2,2023,7,true,"512GB SSD","8GB","15.6"","50Wh","портативность"
10,Dell Inspiron 15,laptop,53999,Надежный ноутбук для бизнеса,"Экран: 15.6"", Процессор: Intel i5, Клавиатура: с подсветкой",Dell,4.5,15,"1.8kg","Черный",2,2023,0,true,"512GB SSD","8GB","15.6"","54Wh","бизнес"
11,Samsung Galaxy A54,phone,34999,Смартфон среднего класса с IP67,"Экран: 6.4"", Защита: IP67, Процессор: Exynos 1380",Samsung,4.6,42,"202g","Фиолетовый, Зеленый",2,2023,5,true,"128GB","8GB","6.4"","5000mAh","всегда на связи"
12,Xiaomi Poco X5 Pro,phone,31999,Игровой смартфон с AMOLED,"Экран: 6.67"" AMOLED, Частота: 120Hz, Зарядка: 67W",Xiaomi,4.5,38,"181g","Синий, Желтый",2,2023,8,true,"256GB","8GB","6.67"","5000mAh","гейминг"
13,Realme 11 Pro+,phone,37999,Смартфон с камерой 200MP,"Камера: 200MP, Зарядка: 100W, Экран: 6.7"" Curved AMOLED",Realme,4.4,29,"183g","Золотой, Черный",2,2023,0,true,"256GB","12GB","6.7"","5000mAh","фотография"
14,OnePlus Nord CE 3,phone,32999,Смартфон с чистой ОС и быстрой зарядкой,"Экран: 6.7"", Зарядка: 80W, Процессор: Snapdragon 782G",OnePlus,4.5,33,"184g","Серый, Голубой",2,2023,6,true,"256GB","8GB","6.7"","5000mAh","производительность"
15,Google Pixel 7a,phone,35999,Компактный смартфон с лучшей камерой,"Экран: 6.1"", Камера: 64MP, Процессор: Tensor G2",Google,4.7,26,"193g","Черный, Белый",2,2023,0,true,"128GB","8GB","6.1"","4385mAh","фотография"
16,ASUS TUF Gaming F15,laptop,89999,Игровой ноутбук с RTX 4050,"Экран: 15.6"" 144Hz, Видеокарта: RTX 4050, Процессор: Intel i5",ASUS,4.6,12,"2.2kg","Серый",2,2023,12,true,"512GB SSD","16GB","15.6"","90Wh","гейминг"
17,Lenovo Legion 5,laptop,94999,Производительный игровой ноутбук,"Экран: 16"" 165Hz, Видеокарта: RTX 4060, Процессор: Ryzen 7",Lenovo,4.7,9,"2.4kg","Синий",2,2023,0,true,"1TB SSD","16GB","16"","80Wh","гейминг"
18,HP Victus 16,laptop,86999,Доступный игровой ноутбук,"Экран: 16.1"" 144Hz, Видеокарта: RTX 4050, Процессор: Intel i7",HP,4.5,14,"2.5kg","Черный",2,2023,8,true,"512GB SSD","16GB","16.1"","83Wh","гейминг"
19,MSI Katana 15,laptop,79999,Игровой ноутбук с подсветкой RGB,"Экран: 15.6"" 144Hz, Видеокарта: RTX 4050, Клавиатура: RGB",MSI,4.4,17,"2.3kg","Черный",2,2023,5,true,"512GB SSD","16GB","15.6"","53Wh","гейминг"
20,Acer Nitro 5,laptop,84999,Популярный игровой ноутбук,"Экран: 15.6"" 165Hz, Видеокарта: RTX 4060, Охлаждение: Dual Fan",Acer,4.5,11,"2.4kg","Красный",2,2023,10,true,"1TB SSD","16GB","15.6"","90Wh","гейминг"
21,Apple MacBook Air 13 M1,laptop,89999,Легкий и мощный ультрабук,"Экран: 13.3"" Retina, Процессор: Apple M1, Время работы: 18ч",Apple,4.8,8,"1.3kg","Серебристый, Золотой",1,2023,0,true,"256GB SSD","8GB","13.3"","49.9Wh","портативность"
22,Dell XPS 13 Plus,laptop,189999,Премиальный ультрабук с современным дизайном,"Экран: 13.4"" 4K, Процессор: Intel i7, Сенсорная панель",Dell,4.7,5,"1.3kg","Платиновый",2,2023,0,true,"1TB SSD","16GB","13.4"","55Wh","премиум"
23,Apple MacBook Pro 14 M2,laptop,199999,Профессиональный ноутбук для творчества,"Экран: 14.2"" Liquid Retina XDR, Процессор: M2 Pro, Память: 16GB",Apple,4.9,4,"1.6kg","Серебристый, Космос",1,2023,0,true,"512GB SSD","16GB","14.2"","70Wh","творчество"
24,ASUS ROG Zephyrus G14,laptop,159999,Мощный игровой ноутбук в компактном корпусе,"Экран: 14"" 165Hz, Видеокарта: RTX 4060, Процессор: Ryzen 9",ASUS,4.8,6,"1.7kg","Белый",2,2023,5,true,"1TB SSD","16GB","14"","76Wh","гейминг"
25,Lenovo ThinkPad X1 Carbon,laptop,149999,Бизнес-ноутбук премиум-класса,"Экран: 14"" 2.8K, Процессор: Intel i7, Защита: MIL-STD-810H",Lenovo,4.7,7,"1.1kg","Черный",3,2023,0,true,"512GB SSD","16GB","14"","57Wh","бизнес"
26,Microsoft Surface Laptop 5,laptop,129999,Стильный ноутбук с сенсорным экраном,"Экран: 13.5"" PixelSense, Сенсорный, Процессор: Intel i7",Microsoft,4.6,9,"1.3kg","Платиновый, Бархатно-коричневый",2,2023,8,true,"512GB SSD","16GB","13.5"","47.4Wh","дизайн"
